SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
1,SEZ,ABIA,ABA NORTH,ARIARIA MARKET,ARIARIA,UMUNNE-ATO PHC,,,,,,,
2,SEZ,ABIA,ABA NORTH,EZIAMA ,EZIAMA,EZIAMA PHC,,,,,,,
3,SEZ,ABIA,ABA NORTH,INDUSTRIAL AREA,INDUSTRIAL,INDUSTRIAL,,,,,,,
4,SEZ,ABIA,ABA NORTH,OGBOR 1,OGBOR I,OGBOR 1,,,,,,,
5,SEZ,ABIA,ABA NORTH,OGBOR 11,OGBOR II,OGBOR 2 CLINIC,,,,,,,
6,SEZ,ABIA,ABA NORTH,OLD ABA GRA,OLD ABA GRA,OLD GRA HC,,,,,,,
7,SEZ,ABIA,ABA NORTH,OSUSU 1,OSUSU I,OSUSU I PHC,,,,,,,
8,SEZ,ABIA,ABA NORTH,OSUSU 11,OSUSU II,OSUSU 2 HP,,,,,,,
9,SEZ,ABIA,ABA NORTH,ST. EUGENES BY OKIGWE RD,ST.EUGENES BY OKIGWE RD.,ST EUGENE HP,,,,,,,
10,SEZ,ABIA,ABA NORTH,UMUOGOR,UMUOGOR,UMUOGOR PHC,,,,,,,
11,SEZ,ABIA,ABA NORTH,UMUOLA,UMUOLA,UMUOLA EGBELU PHC,,,,,,,
12,SEZ,ABIA,ABA NORTH,URATTA,URATTA,URATTA PHC,,,,,,,
13,SEZ,ABIA,ABA SOUTH,ABA RIVER,ABA RIVER,ABA RIVER PHC,,,,,,,
14,SEZ,ABIA,ABA SOUTH,ABA TOWN HALL,ABA TOWN HALL,MCH HEALTH OFFICE,,,,,,,
15,SEZ,ABIA,ABA SOUTH,ASA,ASA,ASA CLINIC,,,,,,,
16,SEZ,ABIA,ABA SOUTH,EKEOHA,EKEOHA,EKEOHA HC,,,,,,,
17,SEZ,ABIA,ABA SOUTH,ENYIMBA,ENYIMBA,ABA UKWU,,,,,,,
18,SEZ,ABIA,ABA SOUTH,EZIUKWU,EZIUKWU,EZIUKWU PHC,,,,,,,
19,SEZ,ABIA,ABA SOUTH,GLOUCHESTER,GLOUCESTER,ABSUTH PHC,,,,,,,
20,SEZ,ABIA,ABA SOUTH,IGWEBIKE,IGWEBUIKE,IGWEBUIKE PHC,,,,,,,
21,SEZ,ABIA,ABA SOUTH,MOSQUE,MOSQUE,MOSQUE PHC,,,,,,,
22,SEZ,ABIA,ABA SOUTH,NGWA,NGWA,AMAUFURU,,,,,,,
23,SEZ,ABIA,ABA SOUTH,OHAZU 2,ELUOHAZU,ASAEMA PHC,,,,,,,
24,SEZ,ABIA,ABA SOUTH,OHAZU 1,OHAZU I,UMUOGELE WARD PHC,,,,,,,
25,SEZ,ABIA,AROCHUKWU,AROCHUKWU 1,AROCHUKWU I,HEALTH OFFICE,,,,,,,
26,SEZ,ABIA,AROCHUKWU,AROCHUKWU 11 ,AROCHUKWU II,OBINKITA,,,,,,,
27,SEZ,ABIA,AROCHUKWU,AROCHUKWU 111 ,AROCHUKWU III,AMUVI,,,,,,,
28,SEZ,ABIA,AROCHUKWU,ELEOCHA IHECHIOWA,ELEOHA IHECHIOWA,ADUANU HC,,,,,,,
29,SEZ,ABIA,AROCHUKWU,IKWUN IHECHIOWA,IKWUN IHECHIOWA,NDI OKPO,,,,,,,
30,SEZ,ABIA,AROCHUKWU,ISU,ISU,IKE ISU HC,,,,,,,
31,SEZ,ABIA,AROCHUKWU,OHAEKE,OHAEKE,IDIMA ABAM HC,,,,,,,
32,SEZ,ABIA,AROCHUKWU,OHAFOR 1,OHAFOR I,OZU ABAM,,,,,,,
33,SEZ,ABIA,AROCHUKWU,OHAFOR 11,OHAFOR II,AMAEKE HC,,,,,,,
34,SEZ,ABIA,AROCHUKWU,OVUKWU,OVUKWU,NDI OJI ABAM,,,,,,,
35,SEZ,ABIA,AROCHUKWU,UTUTU ,UTUTU,UKWUAKWU HC,,,,,,,
36,SEZ,ABIA,BENDE,AMANKALU/ AKOLIUFU,AMANKALU/AKOLIUFU,AMANKALU ALAYI,,,,,,,
37,SEZ,ABIA,BENDE,BENDE,BENDE,BENDE MATERNITY,,,,,,,
38,SEZ,ABIA,BENDE,IGBERE ' A',IGBERE 'A',IGBERE PHC,,,,,,,
39,SEZ,ABIA,BENDE,IGBERE 'B',IGBERE 'B',AMAIYI IGBERE PHC,,,,,,,
40,SEZ,ABIA,BENDE,ITEM 'A',ITEM A,UMUNNATO PHC,,,,,,,
41,SEZ,ABIA,BENDE,ITEM 'B',ITEM B,OKOKO MATERNITY,,,,,,,
42,SEZ,ABIA,BENDE,ITEM 'C',ITEM C,AKANU ITEM MPHC,,,,,,,
43,SEZ,ABIA,BENDE,ITUMBAUZO,ITUMBAUZO,NTALAKWU HC,,,,,,,
44,SEZ,ABIA,BENDE,OZUITEM,OZUITEM,ISIEGBU OZUITEM PHC,,,,,,,
45,SEZ,ABIA,BENDE,UGWUEKE/EZEUKWU,UGWUEKE/EZEUKWU,AMABA UGWUEKE,,,,,,,
46,SEZ,ABIA,BENDE,UMUHU/EZECHI,UMUHU / EZECHI,UMUHU PHC,,,,,,,
47,SEZ,ABIA,BENDE,UMU-IMENYI,UMU - IMENYI,AKOLI PHC,,,,,,,
48,SEZ,ABIA,BENDE,UZUAKOLI ,UZUAKOLI,NGWU PHC,,,,,,,
