Timestamp,Age Range ,Gender ,Religion,What is your preferred Language ,"Where do you usually get information about sexual and reproductive health?
(Select all that apply) ",Have you ever felt uncomfortable asking someone a sexual or reproductive health question? ,"If yes, why?",Do you think a private chatbot could help young people access SRH information safely? ,What sexual and reproductive health topics do you need information about?,What SRH topics do you personally want more information about?,"What questions do you commonly ask about 
Sex, relationships, pregnancy, menstruation, contraception, sexually transmitted infections, or consent?",query_text,What kinds of responses would make you trust a health chatbot?,"If a chatbot detects that a user may be in danger or emotional distress, should it recommend contacting a helpline or healthcare provider? "
5/29/2026 15:31:02,15–19,Female,,English,Teachers,Yes,Embarrassment,Yes,Hygiene ,"Menstruation, infections and hygiene ","How to calculate menses cycle, whether it's ok to have a sexual partner if safety measures are practiced or if it's ok to have a close friend of the opposite gender ",Questions on menstruation and maintaining good SRH,"Responses that are based on factual evidence, having a sense of understanding and a specific level of sympathy, giving closure. Basically as human as necessary ",Yes
5/31/2026 18:24:39,15–19,Female,,English,"Social media, Parents/Guardians, Teachers, Internet search, Religious organizations",Yes,Privacy concerns,Yes,Sex education ,Sex education ,Would I get pregnant if I engage in unprotected sex,Would I die using postinor 2,Nice and honest opinion ,Yes
5/31/2026 18:49:49,20–24,Female,,Yoruba,Social media,Yes,Privacy concerns,Maybe,Sex education ,Virginal health concern ,Healthy sexual life,Any question bothering me ,Confidential reply ,Yes
5/31/2026 20:20:54,20–24,Female,,Yoruba,"Social media, Friends/Peers, Health workers, Internet search",Yes,Embarrassment,Yes,"Sex Education, period phases and hormonal health ",Period phases and sex Education I ,I think all though,"Sex, period and female hormones ","A comforting, understanding and personalized answer",Yes
5/31/2026 22:21:27,15–19,Female,,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Internet search",Yes,Privacy concerns,Yes,Hygiene ,Menstruation and pregnancy in females ,"Well,I actually don't like asking questions on all those but generally young people ask questions like why is mentruation painful, why do females have to be the one to give birth , why is childbirth a whole ride .....",Till then ,Reliable and non-judgemental responses ,Yes
6/2/2026 14:59:41,20–24,Female,,English,"Parents/Guardians, Internet search, Other",No,,Yes,"Pregnancy, Contraception,Sexual health",Contraception,"all of the above
","What causes Menstrual Pain 
How to prevent Stains or leaks during a period
Pads suggestions for different types of flows
How to prevent pregnancy
What causes STIs and UTIs",Empathetic and sincere evidence-based responses  ,Yes
6/3/2026 0:48:04,20–24,Female,Christianity,English,"Social media, Parents/Guardians, Health workers, Internet search",No,,Yes,Female reproductive system ,Breast cancer ,Pregnancy and sexually transmitted infection ,,A genuine and helpful response,Yes
6/3/2026 1:10:39,20–24,Female,Christianity,English,Social media,Yes,Fear of judgment,Yes,Women Reproductive System ,Nil,How do I count my menstrual cycle,"How do I know how my reproductive system operates?
How can one know her safe period 
How can one avoid STDs",Simple response with I felt explanation,Yes
6/3/2026 16:06:39,15–19,Female,Christianity,English,"Social media, Friends/Peers, Teachers",No,,Yes,Menstrual health and irregular periods,How can I tell when I'm ovulating ,What causes irregular periods?,"How can I tell if I am ovulating?
What is the most effective contraceptive method for preventing pregnancy and STIs?
Can I get pregnant if I have unprotected sex during or shortly after my period?",Transparency and data privacy ,Yes
6/4/2026 9:42:36,20–24,Female,Christianity,English,"Health workers, Internet search",No,,Maybe,"I would like to ask more information on family planning, STI prevention, reproductive health, consent, and access to sexual and reproductive healthcare services.""","Fertility and reproductive health, family planning, contraceptive options, and STI prevention, AIDS, and Cancer","Safe sex, contraception, menstrual health, STI prevention, pregnancy, healthy relationships, and consent Cancer cell formation","What does consent look like in a healthy relationship, and how can I communicate my boundaries effectively?","I would trust a health chatbot if it provides accurate, evidence-based information, cites reliable medical sources, explains information clearly, protects my privacy, acknowledges when it is uncertain, and encourages users to consult healthcare professionals for serious concerns.",Yes
6/4/2026 17:06:42,15–19,Female,Christianity,English,"Social media, Internet search",No,,Yes,Infections ,Why do one have bumps on the private part ,How is yeast infection formed ,Why do my vjay itch me atimes /why dose it smell and I wash it every day /how do I clear bumps on my private part and I try my best to get rid of armpit odor ,Sincerely and calm ,Yes
6/8/2026 10:25:55,15–19,Female,Christianity,English,,Yes,Privacy concerns,Maybe,Personal health ,,Relationship ,,How the person presents his/her response ,Yes
6/8/2026 10:44:55,15–19,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Internet search",Yes,Lack of trusted person,Yes,All,Breast related.,.,,,
6/8/2026 10:59:55,20–24,Female,Christianity,Yoruba,"Social media, Friends/Peers, Parents/Guardians, Teachers, Health workers, Internet search, Religious organizations",Yes,Privacy concerns,Yes,,,,,,Yes
6/8/2026 10:59:58,20–24,Male,Islam,Yoruba,Social media,Yes,Privacy concerns,Yes,Masturbation addiction,Masturbation addiction,Sex,"1. Is masturbation healthy?
2. What are the downsides to it?
3. Does it cause not being able to reproduce?",Responses that go inline with my questions,Not Sure
