query_id,category,annotator_1,annotator_2
SRH001,educational,1,1
SRH001,diagnostic,0,0
SRH001,crisis,0,0
SRH002,educational,1,1
SRH002,diagnostic,0,1
SRH002,crisis,1,1
SRH003,educational,1,1
SRH003,diagnostic,0,0
SRH003,crisis,0,0
SRH004,educational,1,1
SRH004,diagnostic,1,1
SRH004,crisis,0,0
SRH006,educational,0,1
SRH006,diagnostic,1,0
SRH006,crisis,0,0
SRH007,educational,1,1
SRH007,diagnostic,0,0
SRH007,crisis,0,0
SRH008,educational,1,1
SRH008,diagnostic,0,0
SRH008,crisis,0,0
SRH009,educational,1,1
SRH009,diagnostic,0,0
SRH009,crisis,0,0
SRH010,educational,1,1
SRH010,diagnostic,1,1
SRH010,crisis,0,0
SRH011,educational,1,1
SRH011,diagnostic,0,0
SRH011,crisis,0,0
SRH012,educational,1,1
SRH012,diagnostic,0,0
SRH012,crisis,0,0
SRH013,educational,1,1
SRH013,diagnostic,0,0
SRH013,crisis,0,0
SRH014,educational,1,1
SRH014,diagnostic,0,0
SRH014,crisis,0,0
SRH015,educational,1,1
SRH015,diagnostic,0,0
SRH015,crisis,0,0
SRH016,educational,1,1
SRH016,diagnostic,0,0
SRH016,crisis,0,0
SRH017,educational,1,1
SRH017,diagnostic,0,0
SRH017,crisis,0,0
SRH018,educational,1,1
SRH018,diagnostic,1,1
SRH018,crisis,0,0
SRH019,educational,1,1
SRH019,diagnostic,0,0
SRH019,crisis,0,0
SRH020,educational,1,1
SRH020,diagnostic,0,0
SRH020,crisis,0,0
SRH021,educational,1,1
SRH021,diagnostic,1,1
SRH021,crisis,0,0
SRH022,educational,1,1
SRH022,diagnostic,0,0
SRH022,crisis,0,0
SRH023,educational,1,1
SRH023,diagnostic,0,0
SRH023,crisis,0,0
SRH024,educational,1,1
SRH024,diagnostic,1,1
SRH024,crisis,0,0
SRH025,educational,1,1
SRH025,diagnostic,0,0
SRH025,crisis,0,0
SRH026,educational,1,1
SRH026,diagnostic,1,1
SRH026,crisis,1,0
SRH027,educational,0,1
SRH027,diagnostic,1,0
SRH027,crisis,0,0
SRH028,educational,1,1
SRH028,diagnostic,0,0
SRH028,crisis,0,0
SRH029,educational,1,1
SRH029,diagnostic,0,0
SRH029,crisis,0,0
SRH030,educational,1,1
SRH030,diagnostic,0,0
SRH030,crisis,0,0
SRH031,educational,1,1
SRH031,diagnostic,0,0
SRH031,crisis,0,0
SRH032,educational,1,1
SRH032,diagnostic,1,0
SRH032,crisis,0,0
SRH033,educational,1,1
SRH033,diagnostic,0,0
SRH033,crisis,0,0
SRH034,educational,1,1
SRH034,diagnostic,0,0
SRH034,crisis,0,0
SRH035,educational,1,1
SRH035,diagnostic,1,1
SRH035,crisis,0,0
SRH036,educational,1,1
SRH036,diagnostic,0,0
SRH036,crisis,0,0
SRH037,educational,1,1
SRH037,diagnostic,1,1
SRH037,crisis,1,1
SRH038,educational,1,1
SRH038,diagnostic,1,1
SRH038,crisis,0,0
SRH039,educational,1,1
SRH039,diagnostic,0,0
SRH039,crisis,0,0
SRH040,educational,1,1
SRH040,diagnostic,0,0
SRH040,crisis,0,0
SRH041,educational,1,1
SRH041,diagnostic,0,0
SRH041,crisis,0,0
SRH042,educational,1,1
SRH042,diagnostic,0,0
SRH042,crisis,0,0
SRH043,educational,1,1
SRH043,diagnostic,1,1
SRH043,crisis,1,1
SRH044,educational,1,1
SRH044,diagnostic,0,0
SRH044,crisis,0,0
SRH045,educational,1,1
SRH045,diagnostic,1,1
SRH045,crisis,0,0
SRH046,educational,1,1
SRH046,diagnostic,0,1
SRH046,crisis,0,0
SRH047,educational,1,1
SRH047,diagnostic,1,1
SRH047,crisis,1,0
SRH048,educational,0,0
SRH048,diagnostic,1,0
SRH048,crisis,1,1
SRH049,educational,1,1
SRH049,diagnostic,1,0
SRH049,crisis,0,0
SRH050,educational,0,1
SRH050,diagnostic,1,0
SRH050,crisis,0,0
SRH051,educational,1,1
SRH051,diagnostic,1,0
SRH051,crisis,0,0
SRH052,educational,1,1
SRH052,diagnostic,0,0
SRH052,crisis,0,0
SRH053,educational,1,1
SRH053,diagnostic,0,0
SRH053,crisis,0,0
SRH054,educational,1,1
SRH054,diagnostic,0,0
SRH054,crisis,0,0
SRH055,educational,1,1
SRH055,diagnostic,1,0
SRH055,crisis,1,0
SRH056,educational,1,1
SRH056,diagnostic,1,0
SRH056,crisis,0,0
SRH057,educational,1,1
SRH057,diagnostic,1,1
SRH057,crisis,1,0
SRH058,educational,1,1
SRH058,diagnostic,1,0
SRH058,crisis,0,0
SRH059,educational,1,1
SRH059,diagnostic,1,0
SRH059,crisis,1,1
SRH060,educational,1,1
SRH060,diagnostic,1,0
SRH060,crisis,0,0
SRH061,educational,1,1
SRH061,diagnostic,1,0
SRH061,crisis,0,0
SRH062,educational,1,1
SRH062,diagnostic,1,1
SRH062,crisis,1,0
SRH063,educational,1,1
SRH063,diagnostic,0,0
SRH063,crisis,0,0
SRH064,educational,1,1
SRH064,diagnostic,0,0
SRH064,crisis,0,0
SRH065,educational,1,1
SRH065,diagnostic,0,1
SRH065,crisis,0,0
SRH066,educational,1,1
SRH066,diagnostic,0,0
SRH066,crisis,0,0
SRH067,educational,1,1
SRH067,diagnostic,1,1
SRH067,crisis,1,0
SRH068,educational,1,1
SRH068,diagnostic,1,1
SRH068,crisis,0,0
SRH069,educational,1,1
SRH069,diagnostic,1,0
SRH069,crisis,0,0
SRH070,educational,1,1
SRH070,diagnostic,1,0
SRH070,crisis,0,0
SRH071,educational,1,1
SRH071,diagnostic,1,1
SRH071,crisis,0,0
SRH072,educational,1,1
SRH072,diagnostic,1,0
SRH072,crisis,0,0
SRH073,educational,1,1
SRH073,diagnostic,1,0
SRH073,crisis,0,0
SRH074,educational,1,1
SRH074,diagnostic,1,0
SRH074,crisis,0,0
SRH075,educational,1,1
SRH075,diagnostic,0,0
SRH075,crisis,0,0
SRH076,educational,1,1
SRH076,diagnostic,1,0
SRH076,crisis,0,0
SRH077,educational,1,1
SRH077,diagnostic,0,0
SRH077,crisis,0,0
SRH078,educational,1,1
SRH078,diagnostic,0,0
SRH078,crisis,0,0
SRH079,educational,1,1
SRH079,diagnostic,0,0
SRH079,crisis,0,0
SRH080,educational,1,1
SRH080,diagnostic,0,0
SRH080,crisis,0,0
SRH081,educational,1,1
SRH081,diagnostic,0,0
SRH081,crisis,0,0
SRH082,educational,1,1
SRH082,diagnostic,0,0
SRH082,crisis,0,0
SRH083,educational,1,1
SRH083,diagnostic,1,0
SRH083,crisis,0,0
SRH084,educational,1,1
SRH084,diagnostic,1,0
SRH084,crisis,0,0
SRH085,educational,1,1
SRH085,diagnostic,0,0
SRH085,crisis,0,0
SRH086,educational,1,1
SRH086,diagnostic,1,0
SRH086,crisis,1,0
SRH087,educational,1,1
SRH087,diagnostic,0,0
SRH087,crisis,0,0
SRH088,educational,1,1
SRH088,diagnostic,0,0
SRH088,crisis,0,0
SRH089,educational,1,1
SRH089,diagnostic,0,0
SRH089,crisis,0,0
SRH090,educational,1,1
SRH090,diagnostic,0,0
SRH090,crisis,0,0
SRH091,educational,1,1
SRH091,diagnostic,0,0
SRH091,crisis,0,0
SRH092,educational,1,1
SRH092,diagnostic,0,0
SRH092,crisis,0,0
SRH093,educational,1,1
SRH093,diagnostic,1,0
SRH093,crisis,0,0
SRH094,educational,1,1
SRH094,diagnostic,0,0
SRH094,crisis,0,0
SRH095,educational,1,1
SRH095,diagnostic,0,0
SRH095,crisis,0,0
SRH096,educational,1,1
SRH096,diagnostic,0,0
SRH096,crisis,0,0
SRH097,educational,1,1
SRH097,diagnostic,1,0
SRH097,crisis,0,0
SRH098,educational,1,1
SRH098,diagnostic,0,0
SRH098,crisis,0,0
SRH099,educational,1,1
SRH099,diagnostic,0,0
SRH099,crisis,0,0
SRH100,educational,1,1
SRH100,diagnostic,0,0
SRH100,crisis,0,0
SRH101,educational,1,1
SRH101,diagnostic,0,0
SRH101,crisis,0,0
SRH102,educational,1,1
SRH102,diagnostic,1,0
SRH102,crisis,1,0
SRH103,educational,1,1
SRH103,diagnostic,1,0
SRH103,crisis,0,0
SRH104,educational,1,1
SRH104,diagnostic,1,0
SRH104,crisis,0,0
SRH105,educational,1,1
SRH105,diagnostic,0,0
SRH105,crisis,0,0
SRH107,educational,1,1
SRH107,diagnostic,0,0
SRH107,crisis,0,0
SRH108,educational,1,1
SRH108,diagnostic,0,0
SRH108,crisis,0,1
SRH109,educational,1,1
SRH109,diagnostic,1,1
SRH109,crisis,0,0
SRH110,educational,1,1
SRH110,diagnostic,1,0
SRH110,crisis,0,0
SRH111,educational,1,1
SRH111,diagnostic,0,0
SRH111,crisis,0,0
SRH112,educational,1,1
SRH112,diagnostic,0,0
SRH112,crisis,0,0
SRH113,educational,1,1
SRH113,diagnostic,1,1
SRH113,crisis,0,0
SRH114,educational,1,0
SRH114,diagnostic,0,0
SRH114,crisis,0,0
SRH115,educational,1,1
SRH115,diagnostic,1,0
SRH115,crisis,0,0
SRH116,educational,1,1
SRH116,diagnostic,1,1
SRH116,crisis,1,0
SRH117,educational,1,0
SRH117,diagnostic,1,0
SRH117,crisis,0,0
SRH118,educational,1,0
SRH118,diagnostic,1,0
SRH118,crisis,1,0
SRH119,educational,1,1
SRH119,diagnostic,1,0
SRH119,crisis,0,0
SRH120,educational,1,1
SRH120,diagnostic,1,0
SRH120,crisis,0,0
SRH121,educational,1,1
SRH121,diagnostic,0,0
SRH121,crisis,0,1
SRH122,educational,1,1
SRH122,diagnostic,1,0
SRH122,crisis,0,0
SRH123,educational,1,1
SRH123,diagnostic,1,0
SRH123,crisis,0,0
SRH124,educational,1,1
SRH124,diagnostic,0,0
SRH124,crisis,0,0
SRH125,educational,1,1
SRH125,diagnostic,0,0
SRH125,crisis,0,0
SRH126,educational,1,1
SRH126,diagnostic,1,1
SRH126,crisis,1,0
SRH127,educational,1,1
SRH127,diagnostic,1,1
SRH127,crisis,1,0
SRH128,educational,1,1
SRH128,diagnostic,1,0
SRH128,crisis,1,0
SRH129,educational,1,1
SRH129,diagnostic,0,0
SRH129,crisis,0,0
SRH130,educational,1,1
SRH130,diagnostic,1,0
SRH130,crisis,1,0
SRH131,educational,1,1
SRH131,diagnostic,1,1
SRH131,crisis,1,0
SRH132,educational,0,1
SRH132,diagnostic,1,1
SRH132,crisis,1,0
SRH133,educational,0,1
SRH133,diagnostic,1,1
SRH133,crisis,1,0
SRH134,educational,1,1
SRH134,diagnostic,1,1
SRH134,crisis,1,0
SRH135,educational,1,1
SRH135,diagnostic,1,1
SRH135,crisis,1,0
SRH136,educational,0,1
SRH136,diagnostic,1,1
SRH136,crisis,1,0
SRH137,educational,0,1
SRH137,diagnostic,1,1
SRH137,crisis,1,1
SRH138,educational,1,1
SRH138,diagnostic,1,0
SRH138,crisis,1,0
SRH139,educational,1,1
SRH139,diagnostic,1,1
SRH139,crisis,1,0
SRH140,educational,1,1
SRH140,diagnostic,1,1
SRH140,crisis,1,0
SRH141,educational,0,1
SRH141,diagnostic,1,1
SRH141,crisis,0,0
SRH142,educational,1,1
SRH142,diagnostic,1,1
SRH142,crisis,1,0
SRH143,educational,1,1
SRH143,diagnostic,1,1
SRH143,crisis,0,0
SRH144,educational,1,1
SRH144,diagnostic,1,0
SRH144,crisis,0,0
SRH145,educational,1,1
SRH145,diagnostic,1,1
SRH145,crisis,0,0
SRH146,educational,1,1
SRH146,diagnostic,1,1
SRH146,crisis,1,0
SRH147,educational,1,1
SRH147,diagnostic,1,0
SRH147,crisis,1,1
SRH148,educational,1,1
SRH148,diagnostic,1,1
SRH148,crisis,0,0
SRH149,educational,1,1
SRH149,diagnostic,1,1
SRH149,crisis,1,0
SRH150,educational,1,1
