Timestamp,participant_id,age_range,gender,religion,language_preference,information_sources,felt_uncomfortable,uncomfortable_reason,chatbot_helpful,trust_factors,helpline_support,topics_needed,topics_wanted,queries_extracted
5/29/2026 15:31:02,P001,15–19,Female,,English,Teachers,Yes,Embarrassment,Yes,"Responses that are based on factual evidence, having a sense of understanding and a specific level of sympathy, giving closure. Basically as human as necessary ",Yes,Hygiene ,"Menstruation, infections and hygiene ",1
5/31/2026 18:24:39,P002,15–19,Female,,English,"Social media, Parents/Guardians, Teachers, Internet search, Religious organizations",Yes,Privacy concerns,Yes,Nice and honest opinion ,Yes,Sex education ,Sex education ,1
5/31/2026 18:49:49,P003,20–24,Female,,Yoruba,Social media,Yes,Privacy concerns,Maybe,Confidential reply ,Yes,Sex education ,Virginal health concern ,1
5/31/2026 20:20:54,P004,20–24,Female,,Yoruba,"Social media, Friends/Peers, Health workers, Internet search",Yes,Embarrassment,Yes,"A comforting, understanding and personalized answer",Yes,"Sex Education, period phases and hormonal health ",Period phases and sex Education I ,1
5/31/2026 22:21:27,P005,15–19,Female,,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Internet search",Yes,Privacy concerns,Yes,Reliable and non-judgemental responses ,Yes,Hygiene ,Menstruation and pregnancy in females ,1
6/2/2026 14:59:41,P006,20–24,Female,,English,"Parents/Guardians, Internet search, Other",No,,Yes,Empathetic and sincere evidence-based responses  ,Yes,"Pregnancy, Contraception,Sexual health",Contraception,5
6/3/2026 0:48:04,P007,20–24,Female,Christianity,English,"Social media, Parents/Guardians, Health workers, Internet search",No,,Yes,A genuine and helpful response,Yes,Female reproductive system ,Breast cancer ,0
6/3/2026 1:10:39,P008,20–24,Female,Christianity,English,Social media,Yes,Fear of judgment,Yes,Simple response with I felt explanation,Yes,Women Reproductive System ,Nil,3
6/3/2026 16:06:39,P009,15–19,Female,Christianity,English,"Social media, Friends/Peers, Teachers",No,,Yes,Transparency and data privacy ,Yes,Menstrual health and irregular periods,How can I tell when I'm ovulating ,3
6/4/2026 9:42:36,P010,20–24,Female,Christianity,English,"Health workers, Internet search",No,,Maybe,"I would trust a health chatbot if it provides accurate, evidence-based information, cites reliable medical sources, explains information clearly, protects my privacy, acknowledges when it is uncertain, and encourages users to consult healthcare professionals for serious concerns.",Yes,"I would like to ask more information on family planning, STI prevention, reproductive health, consent, and access to sexual and reproductive healthcare services.""","Fertility and reproductive health, family planning, contraceptive options, and STI prevention, AIDS, and Cancer",1
6/4/2026 17:06:42,P011,15–19,Female,Christianity,English,"Social media, Internet search",No,,Yes,Sincerely and calm ,Yes,Infections ,Why do one have bumps on the private part ,1
6/8/2026 10:25:55,P012,15–19,Female,Christianity,English,,Yes,Privacy concerns,Maybe,How the person presents his/her response ,Yes,Personal health ,,0
6/8/2026 10:44:55,P013,15–19,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Internet search",Yes,Lack of trusted person,Yes,,,All,Breast related.,0
6/8/2026 10:59:55,P014,20–24,Female,Christianity,Yoruba,"Social media, Friends/Peers, Parents/Guardians, Teachers, Health workers, Internet search, Religious organizations",Yes,Privacy concerns,Yes,,Yes,,,0
6/8/2026 10:59:58,P015,20–24,Male,Islam,Yoruba,Social media,Yes,Privacy concerns,Yes,Responses that go inline with my questions,Not Sure,Masturbation addiction,Masturbation addiction,3
6/8/2026 12:42:04,P016,20–24,,Islam,Hausa,Social media,Yes,Privacy concerns,Maybe,,Not Sure,,,0
6/8/2026 14:22:48,P017,20–24,Female,Christianity,Yoruba,"Social media, Friends/Peers, Teachers, Health workers, Internet search, NGOs",Yes,Privacy concerns,Maybe,,Yes,,,0
6/13/2026 11:13:18,P018,15–19,Male,Islam,English,Social media,Yes,Fear of judgment,Yes,,,,,0
6/13/2026 11:16:40,P019,20–24,Female,Islam,English,Internet search,Yes,Fear of judgment,Yes,,Yes,Pregnancy ,Female reproductive ,1
6/13/2026 11:17:45,P020,15–19,Male,Islam,English,Social media,Yes,Embarrassment,Yes,,Not Sure,,,0
6/13/2026 11:24:18,P021,20–24,Male,Christianity,English,"Social media, Parents/Guardians",Yes,Embarrassment,Yes,,Yes,,,0
6/13/2026 11:29:57,P022,20–24,Male,Islam,English,"Social media, Friends/Peers, Internet search, Religious organizations, NGOs",No,,Yes,Reproductive health ,Yes,Male reproduction health ,Make reproductive health ,3
6/13/2026 11:39:32,P023,20–24,Male,Islam,Yoruba,Social media,No,,Yes,,Not Sure,Hygiene in female body ,Pregnancy ,1
6/13/2026 11:50:10,P024,20–24,Female,Islam,Yoruba,Social media,No,,Yes,,Yes,Reproductive system ,Lungs,0
6/13/2026 12:10:48,P025,20–24,Female,Islam,Other,Parents/Guardians,Maybe,Privacy concerns,Yes,Privacy assurance ,Yes,"Contraception opinions and side effect, understanding consent in relationships, menstrual health issues like irregular periods ",How effective is withdrawal vs condoms?,3
6/13/2026 12:58:57,P026,20–24,Male,Islam,English,Social media,Yes,Cultural/religious reasons,Yes,Everything will be fine,Yes,Pregnancy test ,Pregnancy signs,1
6/13/2026 18:10:34,P027,20–24,Female,Islam,English,"Social media, Parents/Guardians, NGOs",Yes,,Yes,,Yes,,Infection and STIs,0
6/14/2026 8:12:33,P028,20–24,Female,Christianity,English,Internet search,Yes,Embarrassment,Maybe,Non judgemental and not overly fawning or AIish answers ,Yes,The way sex and Reproduction affect the woman body,Safe sex ,3
6/16/2026 12:51:57,P029,20–24,Female,Christianity,English,Social media,No,Privacy concerns,Yes,humanly answer,Yes,all,mestraul health,1
6/16/2026 12:55:55,P030,20–24,Female,Islam,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Health workers, Internet search, NGOs",Yes,Privacy concerns,Yes,,Yes,Hormonal Health,"PMOS, Endometriosis, Adenomyosis",3
6/19/2026 8:34:49,P031,20–24,Female,Christianity,English,"Social media, Friends/Peers, Health workers",Yes,Other,Yes,Answer to all questions asked ,Yes,STI,STI,1
6/19/2026 8:38:16,P032,20–24,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Internet search",No,,Yes,,Yes,Sex,Contraception ,3
6/19/2026 16:26:57,P033,20–24,Male,Christianity,English,"Social media, Health workers",Yes,Privacy concerns,Yes,,Yes,High libido ,Reproduction ,1
6/22/2026 10:19:20,P034,20–24,Female,Christianity,English,Parents/Guardians,No,Other,Yes,Positive response like getting solutions on the issues being asked,Yes,STD,AIDS,3
6/23/2026 17:00:54,P035,20–24,Female,Christianity,Other,Parents/Guardians,No,,Maybe,Kindness and care,Yes,The private part ,,0
6/26/2026 8:07:35,P036,20–24,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Internet search",Yes,Privacy concerns,Yes,Ways to reduce cramps ,Yes,Breast ,Female reproductive organ ,2
6/27/2026 9:05:51,P037,20–24,Female,Christianity,English,"Social media, Parents/Guardians, Internet search",Yes,Fear of judgment,Yes,Emotional and connection feeling ,Yes,Female sexuality everything I need to know about my body ,,2
6/27/2026 9:19:03,P038,20–24,Female,Christianity,Igbo,"Social media, Friends/Peers, Parents/Guardians",No,,Maybe,Not fully ,Not Sure,Cervical cancer & hpv ,,1
6/27/2026 9:21:22,P039,20–24,Female,Christianity,English,"Health workers, Internet search",Yes,Privacy concerns,Yes,The right response ,Yes,Sexually transmitted infections ,Sexually transmitted infections ,1
6/27/2026 9:23:25,P040,20–24,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Health workers, Internet search, Religious organizations, NGOs, Other",Yes,Privacy concerns,Yes,Direct response,Yes,The clitoris,,3
6/27/2026 9:37:20,P041,20–24,Female,Christianity,English,Social media,Yes,Privacy concerns,Yes,In-depth explains with fact ,Yes,Woman reproductive care,Fertility ,3
6/27/2026 9:49:24,P042,20–24,Female,Christianity,Igbo,"Social media, Teachers, Health workers, Religious organizations, NGOs",Yes,Privacy concerns,Yes,Genuine ,Not Sure,Womb ,Sex education ,0
6/27/2026 9:54:13,P043,20–24,Female,Christianity,English,Friends/Peers,No,,Yes,Accurate responses ,Yes,Female reproductive system ,Reproductive health care ,3
6/27/2026 9:58:57,P044,20–24,Female,Islam,English,Social media,Yes,Lack of trusted person,Yes,Detailed and non judgmental ,Yes,Intimacy and risk of infections ,Cervical cancer and other STIs ,2
6/27/2026 10:05:33,P045,20–24,Female,Christianity,Yoruba,Internet search,No,,Yes," Responds without judgment, making it feel safe to ask sensitive or personal questions.",Yes, Gender-based violence and where to get help,"information about contraception, preventing STIs, consent and healthy relationships, menstrual and reproductive health, fertility, and how to know when to see a healthcare provider.",3
6/27/2026 10:14:55,P046,20–24,Female,Christianity,English,Internet search,Yes,Fear of judgment,Maybe,Positive responses ,Yes,Can contraceptive destroy a lady's chance of getting pregnant ,Pregnancy ,1
6/27/2026 10:17:40,P047,20–24,Female,Christianity,English,"Social media, Friends/Peers, Teachers, Health workers, Internet search",Yes,Privacy concerns,Yes,,Yes,Female reproductive cycle tracking and hormonal changes ,Risk of using contraceptives ,0
6/27/2026 10:24:46,P048,20–24,Male,Islam,English,"Social media, Friends/Peers",No,Other,Yes,Best response ,Not Sure,Reasons behind some men being unreproductive,What's the cause of erectile dysfunction in men ,3
6/27/2026 10:30:05,P049,20–24,Female,Islam,English,"Social media, Friends/Peers, Health workers, Internet search, Religious organizations, NGOs",Yes,Fear of judgment,Yes,Accurate ,Yes,,Health,1
6/27/2026 10:37:25,P050,20–24,Male,Christianity,English,"Social media, Internet search",Yes,Embarrassment,Yes,,Yes,,,0
6/27/2026 10:40:49,P051,20–24,Female,Islam,Yoruba,Parents/Guardians,Yes,Privacy concerns,Yes,"I would trust a health chatbot if it provides accurate, evidence-based information, explains things clearly in simple language, respects my privacy, avoids judgment, and advises me to see a healthcare professional when necessary. I would also trust it more if it cites reliable medical sources.",Yes,Uterine fibroids,"Fertility, uterine fibroids, hormonal health, menstrual health, family planning, and STI prevention.",3
6/27/2026 10:41:17,P052,20–24,Female,Islam,English,"Internet search, NGOs",Yes,Embarrassment,Yes,Clear response ,Yes,Hormone,Hormone ,2
6/27/2026 10:43:40,P053,20–24,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Teachers, Health workers",Yes,Fear of judgment,Yes,A direct answer with reasons,Not Sure,"Menstruation cycle, pregnancy hormones, sex urges and control,  contraception ","Menstruation cycle, pregnancy hormones, STIs, contraception ",3
6/27/2026 10:47:31,P054,20–24,Female,Christianity,English,"Social media, Friends/Peers",No,,Maybe,Truthfully ,Yes,Women health ,Regulation of vaginal health,0
6/27/2026 10:53:37,P055,20–24,Female,Christianity,English,"Teachers, Health workers, Internet search",Yes,Privacy concerns,Maybe,The type where am given details and facts with solutions to my problems ,Yes,Sexual health functions,Contraception and family planning ,2
6/27/2026 10:56:14,P056,20–24,Male,Christianity,English,"Parents/Guardians, Health workers, Internet search",Yes,Privacy concerns,Yes,Accurate answers,Yes,Sexual wellness ,Cintraceptives,3
6/27/2026 10:57:21,P057,20–24,Female,Islam,English,"Social media, Friends/Peers",No,,Maybe,Correct response ,Yes,Care for private part ,Pregnancy ,3
6/27/2026 10:59:36,P058,20–24,Male,Prefer Not to Say,English,Social media,Yes,Lack of trusted person,Maybe,Honest response ,Yes,Premarital sex,Dangers of sexual activities ,3
6/27/2026 11:30:46,P059,20–24,Female,Christianity,English,"Social media, Friends/Peers, Parents/Guardians, Internet search, NGOs",No,,Maybe,Positive answer with a lot of insights that explains the direct question first before going in depth to let you understand the answer to your question and a lot more surrounding it,Yes,,"I believe more people should educate themselves on PMOS, Cesarean section and child birth.",3
6/27/2026 11:52:53,P060,20–24,Female,Islam,English,Teachers,No,Privacy concerns,Yes,Sex ,Yes,Sexual transmitted infection ,Sex,0
6/27/2026 12:27:37,P061,20–24,Male,Christianity,English,Internet search,No,,No,,Not Sure,,,0
6/27/2026 12:28:42,P062,,Male,Islam,English,"Social media, Internet search",Yes,Lack of trusted person,Yes,Verifiable information ,Yes,Non,Avascular necrosis,1
6/27/2026 12:51:23,P063,20–24,Female,Islam,English,"Social media, Teachers, Health workers, Religious organizations",Yes,Privacy concerns,Maybe,The response that matches a known knowledge about the question. ,Yes,Sexual compatibility ,Healthy ,2
6/27/2026 12:55:52,P064,20–24,Female,Christianity,Igbo,"Social media, Friends/Peers, Health workers, Internet search, Religious organizations, NGOs",No,,Yes,Near human conversation ,Yes,Fertility ,Fertility ,3
6/27/2026 13:28:24,P065,20–24,Female,Islam,Yoruba,"Social media, Friends/Peers, Internet search",Yes,Embarrassment,Yes,"If the responses I get is clear, authentic and not misleading Because I often double check any information I get to become very certain ",Yes,"PMOS, sexual consent in marriage ",Safe sex practises ,2
6/27/2026 13:45:33,P066,20–24,Female,Islam,English,"Social media, Parents/Guardians, Teachers, Health workers",Yes,Privacy concerns,Yes,Non judgmental ,Not Sure,Ovulation period ,How to know menstrual cycle ,1
6/27/2026 13:46:50,P067,20–24,Female,Christianity,English,"Social media, Friends/Peers, Health workers, Internet search",Yes,Privacy concerns,Yes,A private and helpful response ,Yes,The female reproductive and sexual health topics,Hpv{humanpapolimavirus} and everything about the female reproductive and sexual health,3
6/27/2026 14:05:27,P068,20–24,Female,Christianity,English,"Social media, Friends/Peers, Health workers",No,Cultural/religious reasons,Yes,Confidentiality,Yes,Contraceptive,"Pregnancy, menstruation, contraception",1
